prefix1,prefix1_count,prefix2,prefix2_count,prefix3,prefix3_count,example_courses
0,192,0-0,98,0-0-0,14,混合式学习（自主模式） | 公共管理学（自主模式）
0,192,0-0,98,0-0-2,14,AP*备考——生物学，第三部分：演化和多样性（自主模式） | 软件工程与软件自动化（自主模式）
0,192,0-0,98,0-0-4,14,AP*备考——生物学，第四部分：生态学（自主模式） | 电子政务（自主模式）
0,192,0-0,98,0-0-3,13,不朽的艺术：走进大师与经典（自主模式） | 网络技术与应用（自主模式）
0,192,0-3,50,0-3-3,9,电路与电工实验（自主模式） | 劳动关系实务操作（2018秋）
0,192,0-3,50,0-3-4,8,计算机图形学导论（自主模式） | 产品开发设计（自主模式）
0,192,0-3,50,0-3-6,8,操作系统（自主模式） | 工程伦理（自主模式）
0,192,0-3,50,0-3-0,7,审美的历程（自主模式） | 中级财务会计(自主模式)
0,192,0-6,33,0-6-0,6,艺术心理学(自主模式) | 中华诗词经典吟唱
0,192,0-6,33,0-6-3,6,微积分B(1)（自主模式） | 英语语音（自主模式）
0,192,0-6,33,0-6-6,6, 工程热力学（上） | 中国古代文学
0,192,0-6,33,0-6-1,5,微积分B(2)(自主模式) | 原来姹紫嫣红开遍——昆曲艺术欣赏（自主模式）
0,192,0-5,7,0-5-1,1,中国近现代史纲要（2019春）
0,192,0-5,7,0-5-2,1,Java程序设计（2019春）
0,192,0-5,7,0-5-3,1,微积分——多元函数与重积分（2019春）
0,192,0-5,7,0-5-4,1,定格身边的美——数码摄影攻略（2019春）
