id,student_id,class_id,class_name,keywords_pos,keywords_neg,preference
1,D202210493,1,Role of AI chatbots in education: systematic literature review,revolutionize immediate support explanations resources assistants supporting benefits opportunities prospects numerous gain assistance personalized development skills advantages time-saving improved,challenges limitations concerns reliability accuracy ethical considerations,1
2,D202210493,2,AI student success predictor: Enhancing personalized learning in campus management systems,Success Enhancing Personalized Effective Empowered Advanced Automating Meticulously Curated Masterpiece Refined Ability Accuracy Commendable Solid Seamlessly Swift Efficiency Pioneering Bridges Vital,limitations hinder conventional traditional ineffective gap chasm dropout risk manual unidentified challenges non-AI non-predictive unpersonalized,1
3,D202210493,3,,,,1
4,D202210493,4,,,,1
5,D202210493,5,,,,1
6,U202242880,6,Attention Is All You Need,Best Establishes Improving New Parallelizable Simple State-of-the-art Successfully Superior Well,recurrence convolutions recurrent convolutional RNN CNN ensembles complex,1
7,U202242880,7,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,new deep bidirectional state-of-the-art wide simple powerful improvement,GPT ELMo unidirectional autoregressive shallow labeled task-specific custom complex,1
8,U202242880,8,ImageNet Classification with Deep Convolutional Neural Networks,deep large high-resolution better state-of-the-art faster efficient effective winning best,regression segmentation generation svm rnn lstm gan transformer text audio video finance biology marketing physics,1
9,U202242880,9,Playing Atari with Deep Reinforcement Learning,successfully first learn rewards outperforms surpasses,supervised unsupervised classification regression clustering svm decision tree random forest nlp speech robotics self-driving finance healthcare feature engineering rnn gan transformer,1
10,U202242880,10,,,,1
11,U202243400,11,Research on comment sentiment classification prediction and topic identification based on ChatGPT large language model,aiding advancing suggestions balanced positive expectations acceptance breaks in-depth,concerns complexity limitations,1
12,U202243400,12,Research on Sentiment and Attention of ChatGPT Large Language Model,Optimistic Innovation Fine-grained Multi-faceted,twitter facebook reddit instagram bard llama svm naive bayes rnn cnn kmeans prophet pessimism negative outlook superficial tutorial buy price coding,1
13,U202243400,13,JavaScript malicious code detection based on layer-level heterogeneous graph attention network,enrich improve enhance accurate high,traditional abstract syntax tree AST conventional old Jilin university journal,1
14,U202243400,14,"Emotion recognition in AI dubbing of film and television scripts: current development status, algorithm limitations and improvement suggestions",Improvement Suggestion Development Application Solution Modern Technology,limitations problem difficult deficiencies shortcomings,1
